Date,Temperature,Weather,Holiday,Traffic_Volume
2024-01-03 22:00:00,15,Cloudy,No,1219
2024-01-03 23:00:00,37,Clear,No,1129
2024-01-04 00:00:00,27,Cloudy,No,776
2024-01-04 01:00:00,16,Clear,No,1116
2024-01-04 02:00:00,15,Clear,No,896
2024-01-04 03:00:00,18,Clear,No,766
2024-01-04 04:00:00,26,Rain,No,1622
2024-01-04 05:00:00,20,Clear,Yes,329
2024-01-04 06:00:00,31,Cloudy,No,937
2024-01-04 07:00:00,15,Clear,No,2865
2024-01-04 08:00:00,37,Clear,No,2617
2024-01-04 09:00:00,39,Clear,No,2922
2024-01-04 10:00:00,22,Clear,No,2880
2024-01-04 11:00:00,36,Clear,No,1389
2024-01-04 12:00:00,16,Clear,No,1142
2024-01-04 13:00:00,25,Cloudy,No,919
2024-01-04 14:00:00,37,Clear,No,1307
2024-01-04 15:00:00,27,Clear,Yes,250
2024-01-04 16:00:00,27,Clear,No,1243
2024-01-04 17:00:00,30,Clear,No,3092
2024-01-04 18:00:00,16,Clear,No,3291
2024-01-04 19:00:00,33,Cloudy,No,3074
2024-01-04 20:00:00,36,Cloudy,Yes,2579
2024-01-04 21:00:00,24,Rain,No,1693
2024-01-04 22:00:00,19,Cloudy,No,1241
2024-01-04 23:00:00,26,Cloudy,No,1114
2024-01-05 00:00:00,34,Clear,No,1173
2024-01-05 01:00:00,34,Clear,No,855
2024-01-05 02:00:00,33,Rain,No,1341
2024-01-05 03:00:00,40,Clear,Yes,316
2024-01-05 04:00:00,37,Clear,No,1028
2024-01-05 05:00:00,40,Rain,No,1495
2024-01-05 06:00:00,36,Cloudy,No,1272
2024-01-05 07:00:00,15,Fog,No,3246
2024-01-05 08:00:00,19,Cloudy,No,2525
2024-01-05 09:00:00,40,Clear,No,2784
2024-01-05 10:00:00,28,Clear,No,2543
2024-01-05 11:00:00,28,Fog,No,1499
2024-01-05 12:00:00,40,Rain,No,1499
2024-01-05 13:00:00,15,Cloudy,No,999
2024-01-05 14:00:00,24,Rain,No,1429
2024-01-05 15:00:00,24,Cloudy,No,1006
2024-01-05 16:00:00,38,Cloudy,No,1179
2024-01-05 17:00:00,30,Cloudy,Yes,2633
2024-01-05 18:00:00,34,Cloudy,No,3329
2024-01-05 19:00:00,15,Cloudy,No,3050
2024-01-05 20:00:00,26,Clear,No,3279
2024-01-05 21:00:00,25,Clear,No,844
2024-01-05 22:00:00,28,Clear,No,784
2024-01-05 23:00:00,37,Clear,No,1309
2024-01-06 00:00:00,24,Clear,No,454
2024-01-06 01:00:00,21,Clear,No,842
2024-01-06 02:00:00,25,Rain,No,1126
2024-01-06 03:00:00,39,Cloudy,No,907
2024-01-06 04:00:00,17,Fog,No,1165
2024-01-06 05:00:00,31,Rain,No,1039
2024-01-06 06:00:00,19,Clear,No,628
2024-01-06 07:00:00,39,Clear,No,2568
2024-01-06 08:00:00,34,Rain,No,2736
2024-01-06 09:00:00,33,Clear,Yes,1582
2024-01-06 10:00:00,33,Clear,No,2255
2024-01-06 11:00:00,34,Cloudy,No,722
2024-01-06 12:00:00,19,Clear,No,728
2024-01-06 13:00:00,35,Rain,No,906
2024-01-06 14:00:00,21,Clear,No,772
2024-01-06 15:00:00,28,Cloudy,No,564
2024-01-06 16:00:00,25,Cloudy,No,358
2024-01-06 17:00:00,24,Rain,No,3279
2024-01-06 18:00:00,21,Clear,No,2942
2024-01-06 19:00:00,32,Rain,No,3078
2024-01-06 20:00:00,19,Clear,No,2914
2024-01-06 21:00:00,15,Rain,No,1176
2024-01-06 22:00:00,39,Cloudy,No,751
2024-01-06 23:00:00,33,Rain,No,940
2024-01-07 00:00:00,24,Rain,No,1300
2024-01-07 01:00:00,27,Clear,No,407
2024-01-07 02:00:00,34,Clear,No,710
2024-01-07 03:00:00,21,Cloudy,No,539
2024-01-07 04:00:00,39,Clear,No,811
2024-01-07 05:00:00,15,Clear,No,393
2024-01-07 06:00:00,27,Fog,Yes,250
2024-01-07 07:00:00,30,Cloudy,No,2278
2024-01-07 08:00:00,18,Cloudy,No,2451
2024-01-07 09:00:00,29,Cloudy,No,2464
2024-01-07 10:00:00,15,Cloudy,No,2193
2024-01-07 11:00:00,37,Clear,No,723
2024-01-07 12:00:00,30,Rain,No,1005
2024-01-07 13:00:00,35,Clear,No,439
2024-01-07 14:00:00,22,Clear,No,569
2024-01-07 15:00:00,19,Fog,No,1146
2024-01-07 16:00:00,31,Clear,No,810
2024-01-07 17:00:00,30,Clear,No,2802
2024-01-07 18:00:00,20,Rain,No,3352
2024-01-07 19:00:00,39,Clear,No,2941
2024-01-07 20:00:00,27,Clear,No,2923
2024-01-07 21:00:00,15,Cloudy,No,616
2024-01-07 22:00:00,35,Cloudy,No,664
2024-01-07 23:00:00,31,Rain,No,948
2024-01-08 00:00:00,15,Clear,No,1225
2024-01-08 01:00:00,31,Cloudy,No,1008
2024-01-08 02:00:00,35,Cloudy,No,951
2024-01-08 03:00:00,24,Clear,No,1206
2024-01-08 04:00:00,28,Clear,No,1009
2024-01-08 05:00:00,15,Cloudy,No,1097
2024-01-08 06:00:00,22,Clear,No,1187
2024-01-08 07:00:00,36,Rain,No,3548
2024-01-08 08:00:00,36,Fog,No,3200
2024-01-08 09:00:00,39,Cloudy,No,3006
2024-01-08 10:00:00,29,Rain,No,3024
2024-01-08 11:00:00,33,Rain,No,1475
2024-01-08 12:00:00,20,Cloudy,No,1084
2024-01-08 13:00:00,33,Rain,No,1415
2024-01-08 14:00:00,15,Rain,No,1496
2024-01-08 15:00:00,24,Rain,No,1637
2024-01-08 16:00:00,24,Rain,No,1589
2024-01-08 17:00:00,38,Clear,No,3549
2024-01-08 18:00:00,27,Clear,No,3408
2024-01-08 19:00:00,33,Cloudy,No,3285
2024-01-08 20:00:00,25,Clear,No,3309
2024-01-08 21:00:00,18,Clear,No,944
2024-01-08 22:00:00,32,Cloudy,No,1026
2024-01-08 23:00:00,19,Clear,No,771
2024-01-09 00:00:00,35,Cloudy,No,761
2024-01-09 01:00:00,40,Rain,No,1617
2024-01-09 02:00:00,27,Clear,No,796
2024-01-09 03:00:00,39,Cloudy,No,1006
2024-01-09 04:00:00,30,Clear,No,1006
2024-01-09 05:00:00,22,Cloudy,No,956
2024-01-09 06:00:00,29,Clear,No,1223
2024-01-09 07:00:00,37,Cloudy,No,2753
2024-01-09 08:00:00,28,Clear,No,2452
2024-01-09 09:00:00,29,Rain,No,3442
2024-01-09 10:00:00,32,Clear,No,2464
2024-01-09 11:00:00,39,Cloudy,No,938
2024-01-09 12:00:00,39,Rain,No,1525
2024-01-09 13:00:00,26,Clear,No,774
2024-01-09 14:00:00,18,Clear,No,895
2024-01-09 15:00:00,29,Cloudy,No,860
2024-01-09 16:00:00,22,Cloudy,No,791
2024-01-09 17:00:00,23,Clear,No,3269
2024-01-09 18:00:00,16,Clear,No,3403
2024-01-09 19:00:00,19,Rain,Yes,3026
2024-01-09 20:00:00,20,Clear,No,3299
2024-01-09 21:00:00,25,Clear,No,901
2024-01-09 22:00:00,37,Rain,No,1430
2024-01-09 23:00:00,22,Cloudy,No,755
2024-01-10 00:00:00,16,Cloudy,No,1084
2024-01-10 01:00:00,20,Fog,No,1585
2024-01-10 02:00:00,33,Rain,No,1452
2024-01-10 03:00:00,22,Cloudy,No,882
2024-01-10 04:00:00,20,Fog,No,1311
2024-01-10 05:00:00,15,Cloudy,No,750
2024-01-10 06:00:00,40,Rain,No,1781
2024-01-10 07:00:00,25,Rain,No,3208
2024-01-10 08:00:00,15,Clear,No,2710
2024-01-10 09:00:00,37,Cloudy,No,2767
2024-01-10 10:00:00,16,Clear,No,2778
2024-01-10 11:00:00,31,Clear,No,787
2024-01-10 12:00:00,37,Rain,No,1468
2024-01-10 13:00:00,26,Clear,No,1208
2024-01-10 14:00:00,23,Clear,No,750
2024-01-10 15:00:00,22,Cloudy,Yes,398
2024-01-10 16:00:00,22,Rain,No,1565
2024-01-10 17:00:00,17,Clear,No,3328
2024-01-10 18:00:00,28,Cloudy,No,3186
2024-01-10 19:00:00,24,Clear,No,3244
2024-01-10 20:00:00,22,Clear,No,3371
2024-01-10 21:00:00,15,Cloudy,No,902
2024-01-10 22:00:00,31,Rain,No,1711
2024-01-10 23:00:00,35,Rain,No,1684
2024-01-11 00:00:00,20,Rain,No,1705
2024-01-11 01:00:00,24,Clear,No,906
2024-01-11 02:00:00,15,Cloudy,No,1169
2024-01-11 03:00:00,20,Rain,No,1660
2024-01-11 04:00:00,37,Clear,No,1221
2024-01-11 05:00:00,24,Cloudy,No,867
2024-01-11 06:00:00,20,Cloudy,No,1114
2024-01-11 07:00:00,38,Cloudy,No,2735
2024-01-11 08:00:00,19,Cloudy,No,2622
2024-01-11 09:00:00,16,Clear,No,2869
2024-01-11 10:00:00,18,Cloudy,No,2597
2024-01-11 11:00:00,25,Fog,No,1233
2024-01-11 12:00:00,22,Clear,No,1112
2024-01-11 13:00:00,26,Rain,No,1459
2024-01-11 14:00:00,39,Clear,No,1070
2024-01-11 15:00:00,26,Clear,No,882
2024-01-11 16:00:00,38,Clear,No,1396
2024-01-11 17:00:00,40,Clear,No,3561
2024-01-11 18:00:00,22,Rain,No,3706
2024-01-11 19:00:00,28,Clear,No,3369
2024-01-11 20:00:00,36,Rain,No,4037
2024-01-11 21:00:00,37,Clear,No,1330
2024-01-11 22:00:00,23,Cloudy,No,1062
2024-01-11 23:00:00,35,Cloudy,No,993
2024-01-12 00:00:00,39,Rain,No,1790
2024-01-12 01:00:00,32,Cloudy,No,877
2024-01-12 02:00:00,25,Clear,No,931
2024-01-12 03:00:00,38,Cloudy,No,1400
2024-01-12 04:00:00,38,Clear,No,1390
2024-01-12 05:00:00,36,Clear,No,948
2024-01-12 06:00:00,21,Fog,No,1247
2024-01-12 07:00:00,36,Rain,No,3459
2024-01-12 08:00:00,31,Clear,No,2927
2024-01-12 09:00:00,37,Clear,No,2917
2024-01-12 10:00:00,31,Clear,No,2873
2024-01-12 11:00:00,33,Clear,No,924
2024-01-12 12:00:00,32,Cloudy,No,863
2024-01-12 13:00:00,20,Rain,No,1513
2024-01-12 14:00:00,37,Rain,No,1857
2024-01-12 15:00:00,33,Cloudy,No,836
2024-01-12 16:00:00,37,Clear,No,1248
2024-01-12 17:00:00,22,Clear,No,3421
2024-01-12 18:00:00,37,Cloudy,Yes,2453
2024-01-12 19:00:00,39,Rain,No,3696
2024-01-12 20:00:00,29,Cloudy,No,3037
2024-01-12 21:00:00,28,Cloudy,No,1149
2024-01-12 22:00:00,18,Rain,No,1647
2024-01-12 23:00:00,37,Rain,Yes,962
2024-01-13 00:00:00,15,Clear,Yes,250
2024-01-13 01:00:00,33,Cloudy,No,351
2024-01-13 02:00:00,15,Rain,No,1083
2024-01-13 03:00:00,16,Clear,Yes,250
2024-01-13 04:00:00,19,Clear,No,742
2024-01-13 05:00:00,16,Rain,No,1191
2024-01-13 06:00:00,26,Clear,No,469
2024-01-13 07:00:00,28,Cloudy,No,2419
2024-01-13 08:00:00,33,Cloudy,No,2499
2024-01-13 09:00:00,27,Clear,No,2327
2024-01-13 10:00:00,25,Clear,No,2078
2024-01-13 11:00:00,27,Cloudy,No,675
2024-01-13 12:00:00,32,Cloudy,No,390
2024-01-13 13:00:00,20,Clear,No,835
2024-01-13 14:00:00,40,Cloudy,No,841
2024-01-13 15:00:00,35,Clear,No,568
2024-01-13 16:00:00,22,Clear,No,658
2024-01-13 17:00:00,21,Cloudy,No,3018
2024-01-13 18:00:00,40,Clear,No,3009
2024-01-13 19:00:00,25,Clear,No,2920
2024-01-13 20:00:00,40,Clear,No,2710
2024-01-13 21:00:00,18,Cloudy,No,576
2024-01-13 22:00:00,36,Cloudy,No,745
2024-01-13 23:00:00,36,Cloudy,No,535
2024-01-14 00:00:00,29,Clear,No,840
2024-01-14 01:00:00,31,Cloudy,No,831
2024-01-14 02:00:00,23,Rain,No,1050
2024-01-14 03:00:00,22,Cloudy,No,776
2024-01-14 04:00:00,22,Clear,No,480
2024-01-14 05:00:00,32,Rain,No,1327
2024-01-14 06:00:00,20,Cloudy,No,393
2024-01-14 07:00:00,31,Clear,No,2360
2024-01-14 08:00:00,31,Clear,No,2265
2024-01-14 09:00:00,33,Cloudy,No,2264
2024-01-14 10:00:00,19,Cloudy,No,2074
2024-01-14 11:00:00,32,Cloudy,No,759
2024-01-14 12:00:00,23,Rain,Yes,415
2024-01-14 13:00:00,30,Rain,No,1318
2024-01-14 14:00:00,36,Rain,Yes,416
2024-01-14 15:00:00,21,Clear,No,847
2024-01-14 16:00:00,37,Rain,No,1371
2024-01-14 17:00:00,21,Cloudy,No,2652
2024-01-14 18:00:00,31,Cloudy,No,2657
2024-01-14 19:00:00,27,Clear,No,2973
2024-01-14 20:00:00,40,Cloudy,No,2714
2024-01-14 21:00:00,38,Cloudy,No,908
2024-01-14 22:00:00,27,Cloudy,No,775
2024-01-14 23:00:00,26,Clear,Yes,250
2024-01-15 00:00:00,16,Clear,No,890
2024-01-15 01:00:00,32,Rain,No,1288
2024-01-15 02:00:00,28,Clear,No,1226
2024-01-15 03:00:00,35,Cloudy,No,985
2024-01-15 04:00:00,29,Clear,No,1108
2024-01-15 05:00:00,34,Cloudy,No,752
2024-01-15 06:00:00,27,Clear,No,1073
2024-01-15 07:00:00,32,Clear,Yes,1942
2024-01-15 08:00:00,35,Fog,No,3104
2024-01-15 09:00:00,39,Cloudy,No,2892
2024-01-15 10:00:00,19,Clear,No,2889
2024-01-15 11:00:00,28,Cloudy,No,975
2024-01-15 12:00:00,39,Cloudy,No,971
2024-01-15 13:00:00,34,Rain,No,1492
2024-01-15 14:00:00,27,Clear,Yes,362
2024-01-15 15:00:00,40,Clear,No,1275
2024-01-15 16:00:00,20,Rain,No,1464
2024-01-15 17:00:00,31,Cloudy,No,3190
2024-01-15 18:00:00,24,Cloudy,No,3094
2024-01-15 19:00:00,38,Rain,No,3868
2024-01-15 20:00:00,38,Cloudy,Yes,2467
2024-01-15 21:00:00,28,Rain,No,1689
2024-01-15 22:00:00,17,Clear,No,944
2024-01-15 23:00:00,39,Rain,Yes,1162
2024-01-16 00:00:00,22,Rain,No,1475
2024-01-16 01:00:00,38,Clear,Yes,450
2024-01-16 02:00:00,19,Clear,No,786
2024-01-16 03:00:00,30,Cloudy,No,830
2024-01-16 04:00:00,32,Cloudy,No,1098
2024-01-16 05:00:00,33,Rain,No,1603
2024-01-16 06:00:00,22,Cloudy,No,1011
2024-01-16 07:00:00,38,Rain,No,3452
2024-01-16 08:00:00,30,Cloudy,No,2794
2024-01-16 09:00:00,35,Cloudy,No,2871
2024-01-16 10:00:00,21,Rain,No,3198
2024-01-16 11:00:00,33,Rain,Yes,709
2024-01-16 12:00:00,25,Clear,No,831
2024-01-16 13:00:00,18,Cloudy,No,761
2024-01-16 14:00:00,21,Clear,No,904
2024-01-16 15:00:00,31,Cloudy,No,1103
2024-01-16 16:00:00,38,Rain,No,1866
2024-01-16 17:00:00,21,Cloudy,No,3268
2024-01-16 18:00:00,29,Rain,No,3645
2024-01-16 19:00:00,34,Cloudy,No,3168
2024-01-16 20:00:00,31,Rain,No,3823
2024-01-16 21:00:00,15,Clear,No,959
2024-01-16 22:00:00,32,Fog,No,1303
2024-01-16 23:00:00,18,Cloudy,No,1209
2024-01-17 00:00:00,21,Clear,No,1116
2024-01-17 01:00:00,29,Rain,No,1720
2024-01-17 02:00:00,40,Clear,No,903
2024-01-17 03:00:00,31,Clear,No,1020
2024-01-17 04:00:00,37,Rain,No,1687
2024-01-17 05:00:00,16,Rain,No,1708
2024-01-17 06:00:00,17,Fog,No,1191
2024-01-17 07:00:00,35,Rain,No,3033
2024-01-17 08:00:00,20,Rain,No,3206
2024-01-17 09:00:00,40,Rain,No,3544
2024-01-17 10:00:00,17,Clear,No,2461
2024-01-17 11:00:00,32,Rain,No,1321
2024-01-17 12:00:00,28,Clear,No,757
2024-01-17 13:00:00,29,Cloudy,No,948
2024-01-17 14:00:00,17,Rain,No,1273
2024-01-17 15:00:00,40,Cloudy,No,1052
2024-01-17 16:00:00,28,Cloudy,No,1089
2024-01-17 17:00:00,18,Cloudy,No,3393
2024-01-17 18:00:00,36,Cloudy,No,3443
2024-01-17 19:00:00,22,Clear,No,3021
2024-01-17 20:00:00,35,Clear,No,3315
2024-01-17 21:00:00,29,Cloudy,No,1050
2024-01-17 22:00:00,39,Rain,No,1791
2024-01-17 23:00:00,25,Cloudy,No,1150
2024-01-18 00:00:00,26,Fog,No,1179
2024-01-18 01:00:00,36,Cloudy,No,1101
2024-01-18 02:00:00,22,Clear,No,751
2024-01-18 03:00:00,15,Clear,No,1166
2024-01-18 04:00:00,27,Clear,No,943
2024-01-18 05:00:00,20,Cloudy,No,1247
2024-01-18 06:00:00,29,Clear,No,1054
2024-01-18 07:00:00,22,Cloudy,No,2839
2024-01-18 08:00:00,23,Rain,No,3365
2024-01-18 09:00:00,23,Cloudy,No,2627
2024-01-18 10:00:00,34,Clear,No,2456
2024-01-18 11:00:00,25,Rain,No,1563
2024-01-18 12:00:00,36,Cloudy,No,1196
2024-01-18 13:00:00,24,Clear,No,761
2024-01-18 14:00:00,37,Cloudy,No,1142
2024-01-18 15:00:00,40,Clear,No,1072
2024-01-18 16:00:00,22,Rain,No,1537
2024-01-18 17:00:00,33,Clear,Yes,2460
2024-01-18 18:00:00,36,Clear,No,3158
2024-01-18 19:00:00,17,Clear,No,3394
2024-01-18 20:00:00,36,Clear,No,3431
2024-01-18 21:00:00,31,Rain,No,1694
2024-01-18 22:00:00,38,Clear,No,1263
2024-01-18 23:00:00,34,Cloudy,No,1184
2024-01-19 00:00:00,23,Clear,No,977
2024-01-19 01:00:00,16,Cloudy,No,1044
2024-01-19 02:00:00,24,Fog,No,1224
2024-01-19 03:00:00,26,Clear,No,770
2024-01-19 04:00:00,29,Clear,No,849
2024-01-19 05:00:00,30,Cloudy,No,763
2024-01-19 06:00:00,28,Cloudy,No,1171
2024-01-19 07:00:00,27,Clear,No,2830
2024-01-19 08:00:00,29,Cloudy,No,2533
2024-01-19 09:00:00,16,Clear,No,2794
2024-01-19 10:00:00,39,Clear,No,2860
2024-01-19 11:00:00,15,Rain,No,1550
2024-01-19 12:00:00,37,Cloudy,No,1094
2024-01-19 13:00:00,36,Clear,No,1165
2024-01-19 14:00:00,26,Rain,No,1525
2024-01-19 15:00:00,22,Cloudy,No,813
2024-01-19 16:00:00,36,Clear,Yes,620
2024-01-19 17:00:00,29,Cloudy,No,3446
2024-01-19 18:00:00,38,Rain,No,3806
2024-01-19 19:00:00,20,Clear,No,3319
2024-01-19 20:00:00,28,Clear,No,2969
2024-01-19 21:00:00,40,Clear,No,1097
2024-01-19 22:00:00,19,Rain,No,1746
2024-01-19 23:00:00,33,Clear,No,930
2024-01-20 00:00:00,32,Fog,Yes,481
2024-01-20 01:00:00,39,Cloudy,No,722
2024-01-20 02:00:00,38,Cloudy,No,927
2024-01-20 03:00:00,20,Clear,Yes,250
2024-01-20 04:00:00,34,Cloudy,No,724
2024-01-20 05:00:00,22,Fog,No,963
2024-01-20 06:00:00,20,Rain,No,1139
2024-01-20 07:00:00,15,Rain,No,3007
2024-01-20 08:00:00,32,Clear,No,2352
2024-01-20 09:00:00,22,Rain,No,2894
2024-01-20 10:00:00,28,Rain,No,2836
2024-01-20 11:00:00,30,Rain,No,1210
2024-01-20 12:00:00,40,Clear,No,691
2024-01-20 13:00:00,20,Clear,No,438
2024-01-20 14:00:00,30,Rain,No,1008
2024-01-20 15:00:00,23,Clear,No,451
2024-01-20 16:00:00,28,Rain,No,1331
2024-01-20 17:00:00,32,Rain,No,3414
2024-01-20 18:00:00,25,Clear,No,3004
2024-01-20 19:00:00,39,Clear,No,2898
2024-01-20 20:00:00,29,Cloudy,No,3022
2024-01-20 21:00:00,15,Clear,No,777
2024-01-20 22:00:00,20,Clear,No,459
2024-01-20 23:00:00,28,Cloudy,No,352
2024-01-21 00:00:00,35,Rain,No,1303
2024-01-21 01:00:00,35,Rain,No,982
2024-01-21 02:00:00,16,Cloudy,No,577
2024-01-21 03:00:00,29,Clear,No,651
2024-01-21 04:00:00,32,Cloudy,No,370
2024-01-21 05:00:00,37,Clear,No,616
2024-01-21 06:00:00,29,Clear,No,620
2024-01-21 07:00:00,18,Rain,No,2839
2024-01-21 08:00:00,28,Cloudy,No,2101
2024-01-21 09:00:00,28,Clear,No,2340
2024-01-21 10:00:00,22,Clear,No,2195
2024-01-21 11:00:00,16,Clear,No,694
2024-01-21 12:00:00,25,Clear,No,388
2024-01-21 13:00:00,27,Clear,No,590
2024-01-21 14:00:00,24,Clear,No,433
2024-01-21 15:00:00,18,Clear,No,521
2024-01-21 16:00:00,38,Cloudy,No,640
2024-01-21 17:00:00,37,Cloudy,No,2919
2024-01-21 18:00:00,23,Rain,No,3521
2024-01-21 19:00:00,40,Clear,No,2851
2024-01-21 20:00:00,30,Cloudy,No,2617
2024-01-21 21:00:00,32,Cloudy,No,516
2024-01-21 22:00:00,24,Rain,No,1307
2024-01-21 23:00:00,15,Clear,No,398
2024-01-22 00:00:00,17,Rain,No,1398
2024-01-22 01:00:00,31,Clear,No,1168
2024-01-22 02:00:00,21,Cloudy,No,827
2024-01-22 03:00:00,27,Cloudy,No,1007
2024-01-22 04:00:00,17,Cloudy,No,791
2024-01-22 05:00:00,36,Clear,No,1358
2024-01-22 06:00:00,21,Clear,No,817
2024-01-22 07:00:00,40,Clear,No,2708
2024-01-22 08:00:00,28,Clear,No,2613
2024-01-22 09:00:00,17,Clear,No,2519
2024-01-22 10:00:00,23,Cloudy,No,2765
2024-01-22 11:00:00,16,Cloudy,No,909
2024-01-22 12:00:00,35,Clear,No,816
2024-01-22 13:00:00,36,Clear,No,1241
2024-01-22 14:00:00,20,Clear,No,851
2024-01-22 15:00:00,31,Fog,No,1215
2024-01-22 16:00:00,22,Cloudy,No,1202
2024-01-22 17:00:00,27,Cloudy,No,3260
2024-01-22 18:00:00,30,Clear,No,3004
2024-01-22 19:00:00,30,Clear,No,3085
2024-01-22 20:00:00,34,Cloudy,No,3228
2024-01-22 21:00:00,33,Clear,No,1109
2024-01-22 22:00:00,38,Cloudy,No,1048
2024-01-22 23:00:00,34,Cloudy,No,980
2024-01-23 00:00:00,15,Cloudy,No,1249
2024-01-23 01:00:00,16,Clear,No,900
2024-01-23 02:00:00,32,Clear,No,1007
2024-01-23 03:00:00,39,Cloudy,No,1079
2024-01-23 04:00:00,37,Rain,No,1661
2024-01-23 05:00:00,17,Rain,No,1565
2024-01-23 06:00:00,19,Clear,No,798
2024-01-23 07:00:00,24,Cloudy,No,2607
2024-01-23 08:00:00,38,Cloudy,No,2666
2024-01-23 09:00:00,30,Clear,No,2848
2024-01-23 10:00:00,35,Clear,No,2868
2024-01-23 11:00:00,32,Fog,No,1365
2024-01-23 12:00:00,39,Cloudy,No,1188
2024-01-23 13:00:00,18,Cloudy,No,1085
2024-01-23 14:00:00,36,Rain,No,1882
2024-01-23 15:00:00,23,Rain,No,1731
2024-01-23 16:00:00,22,Cloudy,No,828
2024-01-23 17:00:00,18,Clear,No,3077
2024-01-23 18:00:00,27,Rain,No,3926
2024-01-23 19:00:00,20,Clear,Yes,2379
2024-01-23 20:00:00,37,Clear,No,3566
2024-01-23 21:00:00,16,Cloudy,No,1016
2024-01-23 22:00:00,32,Clear,No,1206
2024-01-23 23:00:00,37,Clear,No,1228
2024-01-24 00:00:00,28,Clear,No,1001
2024-01-24 01:00:00,15,Cloudy,No,1022
2024-01-24 02:00:00,19,Cloudy,No,1057
2024-01-24 03:00:00,18,Cloudy,No,812
2024-01-24 04:00:00,19,Rain,No,1732
2024-01-24 05:00:00,21,Cloudy,No,1204
2024-01-24 06:00:00,19,Clear,No,932
2024-01-24 07:00:00,16,Clear,No,2679
2024-01-24 08:00:00,29,Cloudy,No,2825
2024-01-24 09:00:00,21,Cloudy,No,2923
2024-01-24 10:00:00,32,Cloudy,No,2934
2024-01-24 11:00:00,27,Clear,No,1246
2024-01-24 12:00:00,25,Cloudy,No,932
2024-01-24 13:00:00,35,Cloudy,No,801
2024-01-24 14:00:00,30,Cloudy,No,982
2024-01-24 15:00:00,34,Rain,No,1291
2024-01-24 16:00:00,27,Clear,No,869
2024-01-24 17:00:00,23,Rain,No,3497
